+----------------------------------------------------------------------------+----------+--------------------+
|                                  Modules                                   | #Params  |    Param shape     |
|            unet.down_blocks.1.attentions.1.pos_embed.proj.bias             |   256    |       [256]        |
|              unet.down_blocks.1.attentions.1.norm_out.weight               |   256    |       [256]        |
|               unet.down_blocks.1.attentions.1.norm_out.bias                |   256    |       [256]        |
|                 unet.down_blocks.1.resnets.0.norm1.weight                  |    64    |        [64]        |
|                  unet.down_blocks.1.resnets.0.norm1.bias                   |    64    |        [64]        |
|                 unet.down_blocks.1.resnets.0.conv1.weight                  |  147456  |  [256, 64, 3, 3]   |
|                  unet.down_blocks.1.resnets.0.conv1.bias                   |   256    |       [256]        |
|             unet.down_blocks.1.resnets.0.time_emb_proj.weight              |  65536   |     [256, 256]     |
|              unet.down_blocks.1.resnets.0.time_emb_proj.bias               |   256    |       [256]        |
|                 unet.down_blocks.1.resnets.0.norm2.weight                  |   256    |       [256]        |
|                  unet.down_blocks.1.resnets.0.norm2.bias                   |   256    |       [256]        |
|                 unet.down_blocks.1.resnets.0.conv2.weight                  |  589824  |  [256, 256, 3, 3]  |
|                  unet.down_blocks.1.resnets.0.conv2.bias                   |   256    |       [256]        |
|             unet.down_blocks.1.resnets.0.conv_shortcut.weight              |  16384   |  [256, 64, 1, 1]   |
|              unet.down_blocks.1.resnets.0.conv_shortcut.bias               |   256    |       [256]        |
|                 unet.down_blocks.1.resnets.1.norm1.weight                  |   256    |       [256]        |
|                  unet.down_blocks.1.resnets.1.norm1.bias                   |   256    |       [256]        |
|                 unet.down_blocks.1.resnets.1.conv1.weight                  |  589824  |  [256, 256, 3, 3]  |
|                  unet.down_blocks.1.resnets.1.conv1.bias                   |   256    |       [256]        |
|             unet.down_blocks.1.resnets.1.time_emb_proj.weight              |  65536   |     [256, 256]     |
|              unet.down_blocks.1.resnets.1.time_emb_proj.bias               |   256    |       [256]        |
|                 unet.down_blocks.1.resnets.1.norm2.weight                  |   256    |       [256]        |
|                  unet.down_blocks.1.resnets.1.norm2.bias                   |   256    |       [256]        |
|                 unet.down_blocks.1.resnets.1.conv2.weight                  |  589824  |  [256, 256, 3, 3]  |
|                  unet.down_blocks.1.resnets.1.conv2.bias                   |   256    |       [256]        |
|               unet.down_blocks.1.downsamplers.0.conv.weight                |  589824  |  [256, 256, 3, 3]  |
|                unet.down_blocks.1.downsamplers.0.conv.bias                 |   256    |       [256]        |
|     unet.down_blocks.2.attentions.0.transformer_blocks.0.norm1.weight      |   1024   |       [1024]       |
|      unet.down_blocks.2.attentions.0.transformer_blocks.0.norm1.bias       |   1024   |       [1024]       |
|   unet.down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_q.weight   | 1048576  |    [1024, 1024]    |
|   unet.down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_k.weight   | 1048576  |    [1024, 1024]    |
|   unet.down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_v.weight   | 1048576  |    [1024, 1024]    |
| unet.down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_out.0.weight | 1048576  |    [1024, 1024]    |
|  unet.down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_out.0.bias  |   1024   |       [1024]       |
|     unet.down_blocks.2.attentions.0.transformer_blocks.0.norm2.weight      |   1024   |       [1024]       |
|      unet.down_blocks.2.attentions.0.transformer_blocks.0.norm2.bias       |   1024   |       [1024]       |
|   unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_q.weight   | 1048576  |    [1024, 1024]    |
|   unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_k.weight   |  131072  |    [1024, 128]     |
|   unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v.weight   |  131072  |    [1024, 128]     |
| unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_out.0.weight | 1048576  |    [1024, 1024]    |
|  unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_out.0.bias  |   1024   |       [1024]       |
|     unet.down_blocks.2.attentions.0.transformer_blocks.0.norm3.weight      |   1024   |       [1024]       |
|      unet.down_blocks.2.attentions.0.transformer_blocks.0.norm3.bias       |   1024   |       [1024]       |
| unet.down_blocks.2.attentions.0.transformer_blocks.0.ff.net.0.proj.weight  | 8388608  |    [8192, 1024]    |
|  unet.down_blocks.2.attentions.0.transformer_blocks.0.ff.net.0.proj.bias   |   8192   |       [8192]       |
|    unet.down_blocks.2.attentions.0.transformer_blocks.0.ff.net.2.weight    | 4194304  |    [1024, 4096]    |
|     unet.down_blocks.2.attentions.0.transformer_blocks.0.ff.net.2.bias     |   1024   |       [1024]       |
|              unet.down_blocks.2.attentions.0.proj_out.weight               | 1048576  |    [1024, 1024]    |
|               unet.down_blocks.2.attentions.0.proj_out.bias                |   1024   |       [1024]       |
|           unet.down_blocks.2.attentions.0.pos_embed.proj.weight            | 1048576  | [1024, 1024, 1, 1] |
|            unet.down_blocks.2.attentions.0.pos_embed.proj.bias             |   1024   |       [1024]       |
|              unet.down_blocks.2.attentions.0.norm_out.weight               |   1024   |       [1024]       |
|               unet.down_blocks.2.attentions.0.norm_out.bias                |   1024   |       [1024]       |
|     unet.down_blocks.2.attentions.1.transformer_blocks.0.norm1.weight      |   1024   |       [1024]       |
|      unet.down_blocks.2.attentions.1.transformer_blocks.0.norm1.bias       |   1024   |       [1024]       |
|   unet.down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_q.weight   | 1048576  |    [1024, 1024]    |
|   unet.down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_k.weight   | 1048576  |    [1024, 1024]    |
|   unet.down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_v.weight   | 1048576  |    [1024, 1024]    |
| unet.down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_out.0.weight | 1048576  |    [1024, 1024]    |
|  unet.down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_out.0.bias  |   1024   |       [1024]       |
|     unet.down_blocks.2.attentions.1.transformer_blocks.0.norm2.weight      |   1024   |       [1024]       |
|      unet.down_blocks.2.attentions.1.transformer_blocks.0.norm2.bias       |   1024   |       [1024]       |
|   unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_q.weight   | 1048576  |    [1024, 1024]    |
|   unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_k.weight   |  131072  |    [1024, 128]     |
|   unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v.weight   |  131072  |    [1024, 128]     |
| unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_out.0.weight | 1048576  |    [1024, 1024]    |
|  unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_out.0.bias  |   1024   |       [1024]       |
|     unet.down_blocks.2.attentions.1.transformer_blocks.0.norm3.weight      |   1024   |       [1024]       |
|      unet.down_blocks.2.attentions.1.transformer_blocks.0.norm3.bias       |   1024   |       [1024]       |
| unet.down_blocks.2.attentions.1.transformer_blocks.0.ff.net.0.proj.weight  | 8388608  |    [8192, 1024]    |
|  unet.down_blocks.2.attentions.1.transformer_blocks.0.ff.net.0.proj.bias   |   8192   |       [8192]       |
|    unet.down_blocks.2.attentions.1.transformer_blocks.0.ff.net.2.weight    | 4194304  |    [1024, 4096]    |
|     unet.down_blocks.2.attentions.1.transformer_blocks.0.ff.net.2.bias     |   1024   |       [1024]       |
|              unet.down_blocks.2.attentions.1.proj_out.weight               | 1048576  |    [1024, 1024]    |
|               unet.down_blocks.2.attentions.1.proj_out.bias                |   1024   |       [1024]       |
|           unet.down_blocks.2.attentions.1.pos_embed.proj.weight            | 1048576  | [1024, 1024, 1, 1] |
|            unet.down_blocks.2.attentions.1.pos_embed.proj.bias             |   1024   |       [1024]       |
|              unet.down_blocks.2.attentions.1.norm_out.weight               |   1024   |       [1024]       |
|               unet.down_blocks.2.attentions.1.norm_out.bias                |   1024   |       [1024]       |
|                 unet.down_blocks.2.resnets.0.norm1.weight                  |   256    |       [256]        |
|                  unet.down_blocks.2.resnets.0.norm1.bias                   |   256    |       [256]        |
|                 unet.down_blocks.2.resnets.0.conv1.weight                  | 2359296  | [1024, 256, 3, 3]  |
|                  unet.down_blocks.2.resnets.0.conv1.bias                   |   1024   |       [1024]       |
|             unet.down_blocks.2.resnets.0.time_emb_proj.weight              |  262144  |    [1024, 256]     |
|              unet.down_blocks.2.resnets.0.time_emb_proj.bias               |   1024   |       [1024]       |
|                 unet.down_blocks.2.resnets.0.norm2.weight                  |   1024   |       [1024]       |
|                  unet.down_blocks.2.resnets.0.norm2.bias                   |   1024   |       [1024]       |
|                 unet.down_blocks.2.resnets.0.conv2.weight                  | 9437184  | [1024, 1024, 3, 3] |
|                  unet.down_blocks.2.resnets.0.conv2.bias                   |   1024   |       [1024]       |
|             unet.down_blocks.2.resnets.0.conv_shortcut.weight              |  262144  | [1024, 256, 1, 1]  |
|              unet.down_blocks.2.resnets.0.conv_shortcut.bias               |   1024   |       [1024]       |
|                 unet.down_blocks.2.resnets.1.norm1.weight                  |   1024   |       [1024]       |
|                  unet.down_blocks.2.resnets.1.norm1.bias                   |   1024   |       [1024]       |
|                 unet.down_blocks.2.resnets.1.conv1.weight                  | 9437184  | [1024, 1024, 3, 3] |
|                  unet.down_blocks.2.resnets.1.conv1.bias                   |   1024   |       [1024]       |
|             unet.down_blocks.2.resnets.1.time_emb_proj.weight              |  262144  |    [1024, 256]     |
|              unet.down_blocks.2.resnets.1.time_emb_proj.bias               |   1024   |       [1024]       |
|                 unet.down_blocks.2.resnets.1.norm2.weight                  |   1024   |       [1024]       |
|                  unet.down_blocks.2.resnets.1.norm2.bias                   |   1024   |       [1024]       |
|                 unet.down_blocks.2.resnets.1.conv2.weight                  | 9437184  | [1024, 1024, 3, 3] |
|                  unet.down_blocks.2.resnets.1.conv2.bias                   |   1024   |       [1024]       |
|      unet.up_blocks.0.attentions.0.transformer_blocks.0.norm1.weight       |   1024   |       [1024]       |
|       unet.up_blocks.0.attentions.0.transformer_blocks.0.norm1.bias        |   1024   |       [1024]       |
|    unet.up_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q.weight    | 1048576  |    [1024, 1024]    |
|    unet.up_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k.weight    | 1048576  |    [1024, 1024]    |
|    unet.up_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v.weight    | 1048576  |    [1024, 1024]    |
|  unet.up_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0.weight  | 1048576  |    [1024, 1024]    |
|   unet.up_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0.bias   |   1024   |       [1024]       |
|      unet.up_blocks.0.attentions.0.transformer_blocks.0.norm2.weight       |   1024   |       [1024]       |
|       unet.up_blocks.0.attentions.0.transformer_blocks.0.norm2.bias        |   1024   |       [1024]       |
|    unet.up_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q.weight    | 1048576  |    [1024, 1024]    |
|    unet.up_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k.weight    |  131072  |    [1024, 128]     |
|    unet.up_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight    |  131072  |    [1024, 128]     |
|  unet.up_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0.weight  | 1048576  |    [1024, 1024]    |
|   unet.up_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0.bias   |   1024   |       [1024]       |
|      unet.up_blocks.0.attentions.0.transformer_blocks.0.norm3.weight       |   1024   |       [1024]       |
|       unet.up_blocks.0.attentions.0.transformer_blocks.0.norm3.bias        |   1024   |       [1024]       |
|  unet.up_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj.weight   | 8388608  |    [8192, 1024]    |
|   unet.up_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj.bias    |   8192   |       [8192]       |
|     unet.up_blocks.0.attentions.0.transformer_blocks.0.ff.net.2.weight     | 4194304  |    [1024, 4096]    |
|      unet.up_blocks.0.attentions.0.transformer_blocks.0.ff.net.2.bias      |   1024   |       [1024]       |
|               unet.up_blocks.0.attentions.0.proj_out.weight                | 1048576  |    [1024, 1024]    |
|                unet.up_blocks.0.attentions.0.proj_out.bias                 |   1024   |       [1024]       |
|            unet.up_blocks.0.attentions.0.pos_embed.proj.weight             | 1048576  | [1024, 1024, 1, 1] |
|             unet.up_blocks.0.attentions.0.pos_embed.proj.bias              |   1024   |       [1024]       |
|               unet.up_blocks.0.attentions.0.norm_out.weight                |   1024   |       [1024]       |
|                unet.up_blocks.0.attentions.0.norm_out.bias                 |   1024   |       [1024]       |
|      unet.up_blocks.0.attentions.1.transformer_blocks.0.norm1.weight       |   1024   |       [1024]       |
|       unet.up_blocks.0.attentions.1.transformer_blocks.0.norm1.bias        |   1024   |       [1024]       |
|    unet.up_blocks.0.attentions.1.transformer_blocks.0.attn1.to_q.weight    | 1048576  |    [1024, 1024]    |
|    unet.up_blocks.0.attentions.1.transformer_blocks.0.attn1.to_k.weight    | 1048576  |    [1024, 1024]    |
|    unet.up_blocks.0.attentions.1.transformer_blocks.0.attn1.to_v.weight    | 1048576  |    [1024, 1024]    |
|  unet.up_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0.weight  | 1048576  |    [1024, 1024]    |
|   unet.up_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0.bias   |   1024   |       [1024]       |
|      unet.up_blocks.0.attentions.1.transformer_blocks.0.norm2.weight       |   1024   |       [1024]       |
|       unet.up_blocks.0.attentions.1.transformer_blocks.0.norm2.bias        |   1024   |       [1024]       |
|    unet.up_blocks.0.attentions.1.transformer_blocks.0.attn2.to_q.weight    | 1048576  |    [1024, 1024]    |
|    unet.up_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k.weight    |  131072  |    [1024, 128]     |
|    unet.up_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight    |  131072  |    [1024, 128]     |
|  unet.up_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.0.weight  | 1048576  |    [1024, 1024]    |
|   unet.up_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.0.bias   |   1024   |       [1024]       |
|      unet.up_blocks.0.attentions.1.transformer_blocks.0.norm3.weight       |   1024   |       [1024]       |
|       unet.up_blocks.0.attentions.1.transformer_blocks.0.norm3.bias        |   1024   |       [1024]       |
|  unet.up_blocks.0.attentions.1.transformer_blocks.0.ff.net.0.proj.weight   | 8388608  |    [8192, 1024]    |
|   unet.up_blocks.0.attentions.1.transformer_blocks.0.ff.net.0.proj.bias    |   8192   |       [8192]       |
|     unet.up_blocks.0.attentions.1.transformer_blocks.0.ff.net.2.weight     | 4194304  |    [1024, 4096]    |
|      unet.up_blocks.0.attentions.1.transformer_blocks.0.ff.net.2.bias      |   1024   |       [1024]       |
|               unet.up_blocks.0.attentions.1.proj_out.weight                | 1048576  |    [1024, 1024]    |
|                unet.up_blocks.0.attentions.1.proj_out.bias                 |   1024   |       [1024]       |
|            unet.up_blocks.0.attentions.1.pos_embed.proj.weight             | 1048576  | [1024, 1024, 1, 1] |
|             unet.up_blocks.0.attentions.1.pos_embed.proj.bias              |   1024   |       [1024]       |
|               unet.up_blocks.0.attentions.1.norm_out.weight                |   1024   |       [1024]       |
|                unet.up_blocks.0.attentions.1.norm_out.bias                 |   1024   |       [1024]       |
|      unet.up_blocks.0.attentions.2.transformer_blocks.0.norm1.weight       |   1024   |       [1024]       |
|       unet.up_blocks.0.attentions.2.transformer_blocks.0.norm1.bias        |   1024   |       [1024]       |
|    unet.up_blocks.0.attentions.2.transformer_blocks.0.attn1.to_q.weight    | 1048576  |    [1024, 1024]    |
|    unet.up_blocks.0.attentions.2.transformer_blocks.0.attn1.to_k.weight    | 1048576  |    [1024, 1024]    |
|    unet.up_blocks.0.attentions.2.transformer_blocks.0.attn1.to_v.weight    | 1048576  |    [1024, 1024]    |
|  unet.up_blocks.0.attentions.2.transformer_blocks.0.attn1.to_out.0.weight  | 1048576  |    [1024, 1024]    |
|   unet.up_blocks.0.attentions.2.transformer_blocks.0.attn1.to_out.0.bias   |   1024   |       [1024]       |
|      unet.up_blocks.0.attentions.2.transformer_blocks.0.norm2.weight       |   1024   |       [1024]       |
|       unet.up_blocks.0.attentions.2.transformer_blocks.0.norm2.bias        |   1024   |       [1024]       |
|    unet.up_blocks.0.attentions.2.transformer_blocks.0.attn2.to_q.weight    | 1048576  |    [1024, 1024]    |
|    unet.up_blocks.0.attentions.2.transformer_blocks.0.attn2.to_k.weight    |  131072  |    [1024, 128]     |
|    unet.up_blocks.0.attentions.2.transformer_blocks.0.attn2.to_v.weight    |  131072  |    [1024, 128]     |
|  unet.up_blocks.0.attentions.2.transformer_blocks.0.attn2.to_out.0.weight  | 1048576  |    [1024, 1024]    |
|   unet.up_blocks.0.attentions.2.transformer_blocks.0.attn2.to_out.0.bias   |   1024   |       [1024]       |
|      unet.up_blocks.0.attentions.2.transformer_blocks.0.norm3.weight       |   1024   |       [1024]       |
|       unet.up_blocks.0.attentions.2.transformer_blocks.0.norm3.bias        |   1024   |       [1024]       |
|  unet.up_blocks.0.attentions.2.transformer_blocks.0.ff.net.0.proj.weight   | 8388608  |    [8192, 1024]    |
|   unet.up_blocks.0.attentions.2.transformer_blocks.0.ff.net.0.proj.bias    |   8192   |       [8192]       |
|     unet.up_blocks.0.attentions.2.transformer_blocks.0.ff.net.2.weight     | 4194304  |    [1024, 4096]    |
|      unet.up_blocks.0.attentions.2.transformer_blocks.0.ff.net.2.bias      |   1024   |       [1024]       |
|               unet.up_blocks.0.attentions.2.proj_out.weight                | 1048576  |    [1024, 1024]    |
|                unet.up_blocks.0.attentions.2.proj_out.bias                 |   1024   |       [1024]       |
|            unet.up_blocks.0.attentions.2.pos_embed.proj.weight             | 1048576  | [1024, 1024, 1, 1] |
|             unet.up_blocks.0.attentions.2.pos_embed.proj.bias              |   1024   |       [1024]       |
|               unet.up_blocks.0.attentions.2.norm_out.weight                |   1024   |       [1024]       |
|                unet.up_blocks.0.attentions.2.norm_out.bias                 |   1024   |       [1024]       |
|                  unet.up_blocks.0.resnets.0.norm1.weight                   |   2048   |       [2048]       |
|                   unet.up_blocks.0.resnets.0.norm1.bias                    |   2048   |       [2048]       |
|                  unet.up_blocks.0.resnets.0.conv1.weight                   | 18874368 | [1024, 2048, 3, 3] |
|                   unet.up_blocks.0.resnets.0.conv1.bias                    |   1024   |       [1024]       |
|              unet.up_blocks.0.resnets.0.time_emb_proj.weight               |  262144  |    [1024, 256]     |
|               unet.up_blocks.0.resnets.0.time_emb_proj.bias                |   1024   |       [1024]       |
|                  unet.up_blocks.0.resnets.0.norm2.weight                   |   1024   |       [1024]       |
|                   unet.up_blocks.0.resnets.0.norm2.bias                    |   1024   |       [1024]       |
|                  unet.up_blocks.0.resnets.0.conv2.weight                   | 9437184  | [1024, 1024, 3, 3] |
|                   unet.up_blocks.0.resnets.0.conv2.bias                    |   1024   |       [1024]       |
|              unet.up_blocks.0.resnets.0.conv_shortcut.weight               | 2097152  | [1024, 2048, 1, 1] |
|               unet.up_blocks.0.resnets.0.conv_shortcut.bias                |   1024   |       [1024]       |
|                  unet.up_blocks.0.resnets.1.norm1.weight                   |   2048   |       [2048]       |
|                   unet.up_blocks.0.resnets.1.norm1.bias                    |   2048   |       [2048]       |
|                  unet.up_blocks.0.resnets.1.conv1.weight                   | 18874368 | [1024, 2048, 3, 3] |
|                   unet.up_blocks.0.resnets.1.conv1.bias                    |   1024   |       [1024]       |
|              unet.up_blocks.0.resnets.1.time_emb_proj.weight               |  262144  |    [1024, 256]     |
|               unet.up_blocks.0.resnets.1.time_emb_proj.bias                |   1024   |       [1024]       |
|                  unet.up_blocks.0.resnets.1.norm2.weight                   |   1024   |       [1024]       |
|                   unet.up_blocks.0.resnets.1.norm2.bias                    |   1024   |       [1024]       |
|                  unet.up_blocks.0.resnets.1.conv2.weight                   | 9437184  | [1024, 1024, 3, 3] |
|                   unet.up_blocks.0.resnets.1.conv2.bias                    |   1024   |       [1024]       |
|              unet.up_blocks.0.resnets.1.conv_shortcut.weight               | 2097152  | [1024, 2048, 1, 1] |
|               unet.up_blocks.0.resnets.1.conv_shortcut.bias                |   1024   |       [1024]       |
|                  unet.up_blocks.0.resnets.2.norm1.weight                   |   1280   |       [1280]       |
|                   unet.up_blocks.0.resnets.2.norm1.bias                    |   1280   |       [1280]       |
|                  unet.up_blocks.0.resnets.2.conv1.weight                   | 11796480 | [1024, 1280, 3, 3] |
|                   unet.up_blocks.0.resnets.2.conv1.bias                    |   1024   |       [1024]       |
|              unet.up_blocks.0.resnets.2.time_emb_proj.weight               |  262144  |    [1024, 256]     |
|               unet.up_blocks.0.resnets.2.time_emb_proj.bias                |   1024   |       [1024]       |
|                  unet.up_blocks.0.resnets.2.norm2.weight                   |   1024   |       [1024]       |
|                   unet.up_blocks.0.resnets.2.norm2.bias                    |   1024   |       [1024]       |
|                  unet.up_blocks.0.resnets.2.conv2.weight                   | 9437184  | [1024, 1024, 3, 3] |
|                   unet.up_blocks.0.resnets.2.conv2.bias                    |   1024   |       [1024]       |
|              unet.up_blocks.0.resnets.2.conv_shortcut.weight               | 1310720  | [1024, 1280, 1, 1] |
|               unet.up_blocks.0.resnets.2.conv_shortcut.bias                |   1024   |       [1024]       |
|                 unet.up_blocks.0.upsamplers.0.conv.weight                  | 9437184  | [1024, 1024, 3, 3] |
|                  unet.up_blocks.0.upsamplers.0.conv.bias                   |   1024   |       [1024]       |
|      unet.up_blocks.1.attentions.0.transformer_blocks.0.norm1.weight       |   256    |       [256]        |
|       unet.up_blocks.1.attentions.0.transformer_blocks.0.norm1.bias        |   256    |       [256]        |
|    unet.up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_q.weight    |  65536   |     [256, 256]     |
|    unet.up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_k.weight    |  65536   |     [256, 256]     |
|    unet.up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_v.weight    |  65536   |     [256, 256]     |
|  unet.up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_out.0.weight  |  65536   |     [256, 256]     |
|   unet.up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_out.0.bias   |   256    |       [256]        |
|      unet.up_blocks.1.attentions.0.transformer_blocks.0.norm2.weight       |   256    |       [256]        |
|       unet.up_blocks.1.attentions.0.transformer_blocks.0.norm2.bias        |   256    |       [256]        |
|    unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_q.weight    |  65536   |     [256, 256]     |
|    unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k.weight    |  32768   |     [256, 128]     |
|    unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v.weight    |  32768   |     [256, 128]     |
|  unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_out.0.weight  |  65536   |     [256, 256]     |
|   unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_out.0.bias   |   256    |       [256]        |
|      unet.up_blocks.1.attentions.0.transformer_blocks.0.norm3.weight       |   256    |       [256]        |
|       unet.up_blocks.1.attentions.0.transformer_blocks.0.norm3.bias        |   256    |       [256]        |
|  unet.up_blocks.1.attentions.0.transformer_blocks.0.ff.net.0.proj.weight   |  524288  |    [2048, 256]     |
|   unet.up_blocks.1.attentions.0.transformer_blocks.0.ff.net.0.proj.bias    |   2048   |       [2048]       |
|     unet.up_blocks.1.attentions.0.transformer_blocks.0.ff.net.2.weight     |  262144  |    [256, 1024]     |
|      unet.up_blocks.1.attentions.0.transformer_blocks.0.ff.net.2.bias      |   256    |       [256]        |
|               unet.up_blocks.1.attentions.0.proj_out.weight                |  65536   |     [256, 256]     |
|                unet.up_blocks.1.attentions.0.proj_out.bias                 |   256    |       [256]        |
|            unet.up_blocks.1.attentions.0.pos_embed.proj.weight             |  65536   |  [256, 256, 1, 1]  |
|             unet.up_blocks.1.attentions.0.pos_embed.proj.bias              |   256    |       [256]        |
|               unet.up_blocks.1.attentions.0.norm_out.weight                |   256    |       [256]        |
|                unet.up_blocks.1.attentions.0.norm_out.bias                 |   256    |       [256]        |
|      unet.up_blocks.1.attentions.1.transformer_blocks.0.norm1.weight       |   256    |       [256]        |
|       unet.up_blocks.1.attentions.1.transformer_blocks.0.norm1.bias        |   256    |       [256]        |
|    unet.up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_q.weight    |  65536   |     [256, 256]     |
|    unet.up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k.weight    |  65536   |     [256, 256]     |
|    unet.up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_v.weight    |  65536   |     [256, 256]     |
|  unet.up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.0.weight  |  65536   |     [256, 256]     |
|   unet.up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.0.bias   |   256    |       [256]        |
|      unet.up_blocks.1.attentions.1.transformer_blocks.0.norm2.weight       |   256    |       [256]        |
|       unet.up_blocks.1.attentions.1.transformer_blocks.0.norm2.bias        |   256    |       [256]        |
|    unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_q.weight    |  65536   |     [256, 256]     |
|    unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k.weight    |  32768   |     [256, 128]     |
|    unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v.weight    |  32768   |     [256, 128]     |
|  unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.0.weight  |  65536   |     [256, 256]     |
|   unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.0.bias   |   256    |       [256]        |
|      unet.up_blocks.1.attentions.1.transformer_blocks.0.norm3.weight       |   256    |       [256]        |
|       unet.up_blocks.1.attentions.1.transformer_blocks.0.norm3.bias        |   256    |       [256]        |
|  unet.up_blocks.1.attentions.1.transformer_blocks.0.ff.net.0.proj.weight   |  524288  |    [2048, 256]     |
|   unet.up_blocks.1.attentions.1.transformer_blocks.0.ff.net.0.proj.bias    |   2048   |       [2048]       |
|     unet.up_blocks.1.attentions.1.transformer_blocks.0.ff.net.2.weight     |  262144  |    [256, 1024]     |
|      unet.up_blocks.1.attentions.1.transformer_blocks.0.ff.net.2.bias      |   256    |       [256]        |
|               unet.up_blocks.1.attentions.1.proj_out.weight                |  65536   |     [256, 256]     |
|                unet.up_blocks.1.attentions.1.proj_out.bias                 |   256    |       [256]        |
|            unet.up_blocks.1.attentions.1.pos_embed.proj.weight             |  65536   |  [256, 256, 1, 1]  |
|             unet.up_blocks.1.attentions.1.pos_embed.proj.bias              |   256    |       [256]        |
|               unet.up_blocks.1.attentions.1.norm_out.weight                |   256    |       [256]        |
|                unet.up_blocks.1.attentions.1.norm_out.bias                 |   256    |       [256]        |
|      unet.up_blocks.1.attentions.2.transformer_blocks.0.norm1.weight       |   256    |       [256]        |
|       unet.up_blocks.1.attentions.2.transformer_blocks.0.norm1.bias        |   256    |       [256]        |
|    unet.up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_q.weight    |  65536   |     [256, 256]     |
|    unet.up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_k.weight    |  65536   |     [256, 256]     |
|    unet.up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_v.weight    |  65536   |     [256, 256]     |
|  unet.up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_out.0.weight  |  65536   |     [256, 256]     |
|   unet.up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_out.0.bias   |   256    |       [256]        |
|      unet.up_blocks.1.attentions.2.transformer_blocks.0.norm2.weight       |   256    |       [256]        |
|       unet.up_blocks.1.attentions.2.transformer_blocks.0.norm2.bias        |   256    |       [256]        |
|    unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_q.weight    |  65536   |     [256, 256]     |
